City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Laguna,US,38.421,-121.4238,83.97,58,0,11.5,clear sky
306,Victoria,HK,22.2855,114.1577,87.19,85,10,11.01,clear sky
307,Nyrob,RU,60.733,56.7202,64.58,90,89,1.81,overcast clouds
308,Karaton,ID,-6.3424,106.1045,72.57,85,11,2.42,few clouds
309,Alihe,CN,50.5667,123.7167,56.34,96,100,3.58,overcast clouds
310,Aksarka,RU,66.5606,67.7975,59.79,65,45,6.24,scattered clouds
311,Nador,MA,35.174,-2.9287,82.47,65,0,8.05,clear sky
312,San Buenaventura,MX,27.0833,-101.5333,95.47,43,20,8.05,few clouds
313,Kodiak,US,57.79,-152.4072,53.11,94,100,16.11,light rain
314,Sompeta,IN,18.9333,84.6,80.51,89,78,6.71,broken clouds
315,La Rioja,ES,42.25,-2.5,85.78,31,0,9.13,clear sky
316,Songjianghe,CN,42.1859,127.479,58.5,96,64,2.64,broken clouds
317,Saint Anthony,US,45.0205,-93.218,83.08,56,0,11.5,clear sky
318,Taoudenni,ML,22.6783,-3.9836,113.5,5,0,11.77,clear sky
319,Kavaratti,IN,10.5669,72.642,81.3,82,100,19.53,overcast clouds
320,Caxito,AO,-8.5785,13.6643,69.62,83,73,7.63,broken clouds
321,Kozulka,UA,50.0351,23.797,59.54,80,88,5.1,overcast clouds
322,Rio Grande,BR,-32.035,-52.0986,62.71,90,100,12.57,overcast clouds
323,Basco,PH,20.4487,121.9702,84.11,80,61,14.63,broken clouds
324,Bastia,FR,42.6667,9.3333,85.8,55,0,5.75,clear sky
325,Pangai,TO,-19.8,-174.35,76.71,70,25,21.32,scattered clouds
326,Galle,LK,6.0367,80.217,80.64,81,89,16.11,overcast clouds
327,Marquette,US,46.5333,-87.6335,72.77,61,60,5.08,broken clouds
328,Fortuna,US,40.5982,-124.1573,67.93,76,40,1.99,scattered clouds
329,Shimoda,JP,34.6667,138.95,73.11,94,100,6.58,light rain
330,Kralendijk,BQ,12.15,-68.2667,87.78,70,40,20.71,scattered clouds
331,Dunedin,NZ,-45.8742,170.5036,39.79,68,86,5.01,overcast clouds
332,Kavieng,PG,-2.5744,150.7967,81.23,71,39,15.55,scattered clouds
333,Esperance,AU,-33.8667,121.9,62.44,75,100,15.26,light rain
334,Kreuzau,DE,50.75,6.4833,73.53,47,75,13.8,broken clouds
335,Marsa Matruh,EG,31.3525,27.2453,97.0,26,0,11.5,clear sky
336,Rongcheng,CN,30.634,117.8517,79.86,90,85,3.91,overcast clouds
337,Robertson,US,36.5167,-86.8667,83.07,78,100,5.75,overcast clouds
338,Mangan,IN,27.5167,88.5333,74.71,92,69,1.92,light rain
339,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,0,17.27,clear sky
340,Vitim,RU,59.4511,112.5578,58.93,98,100,3.4,overcast clouds
341,Inongo,CD,-1.95,18.2667,75.58,44,46,1.16,scattered clouds
342,College,US,64.8569,-147.8028,72.21,66,75,4.61,smoke
343,Nicolas Bravo,MX,18.45,-88.9167,91.22,42,81,6.44,broken clouds
344,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,100,100,21.85,fog
345,Shahapur,IN,19.45,73.3333,74.57,97,100,3.04,light rain
